station_id,D_station,station_latitude,station_longitude,bikepath
472,E 32 St & Park Ave,40.7457121,-73.98194829000001,
527,E 33 St & 2 Ave,40.744023,-73.976056,1st/2nd ave
526,E 33 St & 5 Ave,40.74765947,-73.98490707000001,
160,E 37 St & Lexington Ave,40.748238,-73.97831100000001,
518,E 39 St & 2 Ave,40.74780373,-73.9734419,
167,E 39 St & 3 Ave,40.7489006,-73.97604882,
439,E 4 St & 2 Ave,40.7262807,-73.98978041,1st/2nd ave
3234,E 40 St & Madison Ave,40.75159368,-73.98043156,
3235,E 41 St & Madison Ave,40.75216528,-73.97992194,
2017,E 43 St & 2 Ave,40.75022392,-73.97121414,
318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,
440,E 45 St & 3 Ave,40.75255434,-73.97282625,
516,E 47 St & 1 Ave,40.75206862,-73.96784384,1st/2nd ave
164,E 47 St & 2 Ave,40.75323098,-73.97032517,
359,E 47 St & Park Ave,40.75510267,-73.97498696,
228,E 48 St & 3 Ave,40.7546011,-73.97187886,
3233,E 48 St & 5 Ave,40.75724568,-73.97805914,
538,E 48 St & Madison Ave,40.75666,-73.97668400000001,
393,E 5 St & Avenue C,40.72299208,-73.97995466,
454,E 51 St & 1 Ave,40.75455731,-73.96592976,1st/2nd ave
522,E 51 St & Lexington Ave,40.75714758,-73.97207836,
441,E 52 St & 2 Ave,40.756014,-73.967416,
367,E 53 St & Lexington Ave,40.75828065,-73.97069431,
456,E 53 St & Madison Ave,40.7597108,-73.97402311000001,
385,E 55 St & 2 Ave,40.75797322,-73.96603308,
3223,E 55 St & 3 Ave,40.75899656,-73.96865398,
2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,
137,E 56 St & Madison Ave,40.761628,-73.97292400000001,
305,E 58 St & 3 Ave,40.76095756,-73.96724467,
3132,E 59 St & Madison Ave,40.76350532,-73.97109243,
317,E 6 St & Avenue B,40.72453734,-73.98185424,
411,E 6 St & Avenue D,40.72228087,-73.97668709,
2022,E 60 St & York Ave,40.759107,-73.95922299999999,
3231,E 67 St & Park Ave,40.7678008,-73.96592081,
432,E 7 St & Avenue A,40.72621788,-73.98379855,
3139,E 72 St & Park Ave,40.77122923,-73.96432627,
3156,E 72 St & York Ave,40.76663814,-73.95348296,
3135,E 75 St & 3 Ave,40.77112927,-73.95772297000001,
3146,E 81 St & 3 Ave,40.77573034,-73.9567526,
3144,E 81 St & Park Ave,40.77677702,-73.9590097,
3149,E 82 St & 2 Ave,40.77517793,-73.95324922,
3148,E 84 St & 1 Ave,40.77565541,-73.95068615,1st/2nd ave
3145,E 84 St & Park Ave,40.77862688,-73.95772073000001,
3147,E 85 St & 3 Ave,40.77801203,-73.95407149,
3150,E 85 St & York Ave,40.77536905,-73.94803392,
394,E 9 St & Avenue C,40.72521311,-73.97768752,
3157,East End Ave & E 86 St,40.77518615,-73.94446053999999,
263,Elizabeth St & Hester St,40.71729,-73.996375,
354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,
3214,Essex Light Rail,40.7127742,-74.0364857,
501,FDR Drive & E 35 St,40.744219,-73.97121214000001,east river greenway
531,Forsyth St & Broome St,40.71893904,-73.99266288,
412,Forsyth St & Canal St,40.7158155,-73.99422366,
372,Franklin Ave & Myrtle Ave,40.694528,-73.958089,
3117,Franklin St & Dupont St,40.73564,-73.95866,
79,Franklin St & W Broadway,40.71911552,-74.00666661,
418,Front St & Gold St,40.70224,-73.982578,
351,Front St & Maiden Ln,40.70530954,-74.00612572,
2000,Front St & Washington St,40.70255088,-73.98940236,
3091,Frost St & Meeker St,40.71764,-73.94882,
319,Fulton St & Broadway,40.711066,-74.00944699999999,
397,Fulton St & Clermont Ave,40.68415748,-73.96922273,
365,Fulton St & Grand Ave,40.68223166,-73.9614583,
243,Fulton St & Rockwell Pl,40.688226,-73.979382,
3042,Fulton St & Utica Ave,40.6794268,-73.92989110000001,
384,Fulton St & Washington Ave,40.683048,-73.96491500000001,
316,Fulton St & William St,40.70955958,-74.00653609,
218,Gallatin Pl & Livingston St,40.69028437,-73.98707105,
3086,Graham Ave & Conselyea St,40.715143,-73.944507,
3081,Graham Ave & Grand St,40.711863,-73.944024,
