D_station,LU1,LU2,LU3,LU4,LU5,LU6,LU7,LU8,LU9,LU10,LU11,LUNA,LU23,LU458,LU6710
E 2 St & 2 Ave,.0027345037473854,.0867993627412657,.2891046390561722,.3146672937175951,.1807035473610459,.0327148024121207,0,.0820529355745678,.0084158363035213,.0028070790863258,0,0,.37590399,.57742375,.03552188
E 2 St & Avenue B,.0013936032626642,.1966630024016685,.3001399572125043,.3177008547410926,.0452827324005991,.0109225137418344,.0001192931790867,.1215524355312422,.0043880386015578,.0018375689277502,0,0,.49680296,.48453602,.012879376
E 2 St & Avenue C,.0013850124613537,.1322027335756749,.5572924178121417,.1830977777971021,.0048950028051771,.0040321151330482,.0001045723466351,.1119440706705667,.0038156010002688,.0012306963980317,0,0,.68949515,.29993686,.0053673838
E 20 St & 2 Ave,.0097605248491434,.0345576381230191,.235041107783244,.5348431141484338,.0351104768454997,0,0,.1485069249913114,.0000654738657741,.0021147393935744,0,0,.26959875,.7184605,.0021147395
E 20 St & FDR Drive,.0009735918905856,.0042594841977851,.002164175926874,.9613942874790967,.001476837367417,0,.0137735311926013,.0143402136188111,.0016178783268292,0,0,0,.0064236601,.97721136,.013773532
E 20 St & Park Ave,.0039588365765572,.0154686518455304,.2321519650190571,.1757456879542724,.4467761732310461,.0112522284701857,0,.1101334726114437,.0001250019495337,.0043879823423736,0,0,.24762061,.73265535,.01564021
E 23 St & 1 Ave,.001420662781161,.0123883098710599,.0838853042831691,.6550163403872035,.0087876631232228,0,.0072225898176507,.2278356052711864,.0008174320795908,.002626092385756,0,0,.096273616,.89163959,.0098486822
E 24 St & Park Ave S,.00142110148804,.0106422351516713,.1802504274310277,.1647513848595384,.5345124536761463,.0050930269253164,0,.0996437360356505,.0000502019547405,.0036354324778689,0,0,.19089267,.79890758,.0087284595
E 25 St & 1 Ave,.0002186806027086,.0217389764803539,.1379617794663707,.596768384264382,.0292060570735628,.0001590566961474,.0063947444548694,.2043353483137773,.0007084049750159,.0022758305642374,0,.0002327371085746,.15970075,.83030981,.0088296318
E 25 St & 2 Ave,.00056427586185,.036087584185038,.2758124461318929,.3348639944381924,.0459132856410444,.0020609560785447,.0001503148357727,.3020025047181716,.0004089611133774,.0018774672188263,0,.0002582097772896,.31190002,.68277979,.004088738
E 27 St & 1 Ave,.0006663148599178,.0226244352372414,.1844217085193931,.3973679251020863,.0461250136004141,0,.0001774965323044,.3456581433656548,.0013922325680646,.0012618279087713,0,.0003049023061523,.20704615,.78915107,.0014393245
E 3 St & 1 Ave,.0058757022711768,.1416691222157155,.2729731672100301,.4079057459516935,.0681960071490592,.0102957732605967,0,.0824110103649118,.0103440710089375,.000329400567879,0,0,.4146423,.55851275,.010625174
E 30 St & Park Ave S,.0033814232179507,.0153105736118098,.1609410441247825,.20267166429638,.5535329391682563,.0283147912859983,0,.0294348222054689,0,.0061681386804675,0,.0002446034088862,.17625162,.78563941,.03448293
E 31 St & 3 Ave,.0070628497402774,.0380569500632998,.2339748562077944,.346379503023283,.3065580776920541,.0252215177220854,.0001487742580002,.037186573523822,.0003890596092264,.0047047698959452,0,.0003170682642121,.27203181,.69012415,.030075062
E 32 St & Park Ave,.0046405517940198,.0160403141004039,.139069176633187,.2249268617297143,.5571005781450032,.0222412488780317,0,.0298830801884031,0,.0058655832460115,0,.0002326052852254,.15510949,.81191051,.028106833
E 33 St & 2 Ave,.0038240490954398,.0325035453157317,.2040353074468678,.4488341376474556,.157521802721655,.0204918944093665,0,.1273395530447511,.0005408988128566,.004708339738867,0,.0002004717670091,.23653886,.73369551,.025200235
E 33 St & 5 Ave,.0004195072095749,.0027447542949347,.0868629756162695,.1585473813957901,.7028935370789199,.0288760209463189,0,.0160563375920403,1.29021397565e-06,.003598195652176,0,0,.089607731,.87749726,.032474216
